Point,X(Minutes),Y(Counts),Analyte
0,0.04,0,7mer
1,0.06,0,7mer
2,0.07,0,7mer
3,0.09,0,7mer
4,0.11,9,7mer
5,0.12,0,7mer
6,0.14,1,7mer
7,0.16,0.795983553,7mer
8,0.17,0.422683865,7mer
9,0.19,0.21861957,7mer
10,0.21,0.165055349,7mer
11,0.22,0.21248658,7mer
12,0.24,0.304054588,7mer
13,0.26,0.388874203,7mer
14,0.27,0.426275879,7mer
15,0.29,0.41374141,7mer
16,0.31,0.373329014,7mer
17,0.32,0.332723022,7mer
18,0.34,0.312992364,7mer
19,0.36,0.325717479,7mer
20,0.37,0.362402081,7mer
21,0.39,0.388874203,7mer
22,0.4,0.368748724,7mer
23,0.42,0.295775712,7mer
24,0.44,0.202455714,7mer
25,0.45,0.138762057,7mer
26,0.47,0.137172848,7mer
27,0.49,0.218060046,7mer
28,0.5,0.395622998,7mer
29,0.52,0.673697054,7mer
30,0.54,1.012521505,7mer
31,0.55,1.298190475,7mer
32,0.57,1.430903435,7mer
33,0.59,1.403677225,7mer
34,0.6,1.513889194,7mer
35,0.62,2.273261786,7mer
36,0.64,4.127905369,7mer
37,0.65,6.9414711,7mer
38,0.67,9.800778389,7mer
39,0.69,11.49920273,7mer
40,0.7,11.5307188,7mer
41,0.72,10.44287682,7mer
42,0.74,9.050206184,7mer
43,0.75,7.604342937,7mer
44,0.77,5.927900314,7mer
45,0.79,4.061886787,7mer
46,0.8,2.397269964,7mer
47,0.82,1.263776183,7mer
48,0.84,0.696328104,7mer
49,0.85,0.463995576,7mer
50,0.87,0.3685202,7mer
51,0.89,0.310055315,7mer
52,0.9,0.283505261,7mer
53,0.92,0.284488648,7mer
54,0.94,0.318915159,7mer
55,0.95,0.388616025,7mer
56,0.97,0.48592332,7mer
57,0.99,0.57477051,7mer
58,1,0.595740497,7mer
59,1.02,0.516422987,7mer
60,1.04,0.365309596,7mer
61,1.05,0.208643526,7mer
62,1.07,0.203079492,7mer
63,1.09,0.48959589,7mer
64,1.1,1.549294114,7mer
65,1.12,4.177788258,7mer
66,1.14,9.074947357,7mer
67,1.15,15.80040073,7mer
68,1.17,22.03750801,7mer
69,1.18,24.62222481,7mer
70,1.2,22.03750801,7mer
71,1.22,15.80040073,7mer
72,1.23,9.074947357,7mer
73,1.25,4.175327301,7mer
74,1.27,1.53888905,7mer
75,1.28,0.454354167,7mer
76,1.3,0.107461311,7mer
77,1.32,0.031171983,7mer
78,1.33,0.131797388,7mer
79,1.35,0.446395308,7mer
80,1.37,1.21116364,7mer
81,1.38,2.632427454,7mer
82,1.4,4.583322048,7mer
83,1.42,6.392559528,7mer
84,1.43,7.142324924,7mer
