X Minutes,Y Counts,Oligo Length,Type
0.05,0,7,Standard
0.066,0,7,Standard
0.083,0,7,Standard
0.1,0,7,Standard
0.116,0,7,Standard
0.133,0,7,Standard
0.149,0,7,Standard
0.166,0.357001,7,Standard
0.183,0.35965,7,Standard
0.199,0.300586,7,Standard
0.216,0.221761,7,Standard
0.232,0.171242,7,Standard
0.249,0.167702,7,Standard
0.266,0.195188,7,Standard
0.282,0.224117,7,Standard
0.299,0.23832,7,Standard
0.315,0.241227,7,Standard
0.332,0.2375,7,Standard
0.349,0.220649,7,Standard
0.365,0.183441,7,Standard
0.382,0.135829,7,Standard
0.398,0.101967,7,Standard
0.415,0.101147,7,Standard
0.432,0.132361,7,Standard
0.448,0.171694,7,Standard
0.465,0.188776,7,Standard
0.481,0.168225,7,Standard
0.498,0.120614,7,Standard
0.514,0.070915,7,Standard
0.531,0.038809,7,Standard
0.548,0.035242,7,Standard
0.564,0.067214,7,Standard
0.581,0.139369,7,Standard
0.597,0.241227,7,Standard
0.614,0.336451,7,Standard
0.631,0.388217,7,Standard
0.647,0.388476,7,Standard
0.664,0.418256,7,Standard
0.68,0.620108,7,Standard
0.697,1.115429,7,Standard
0.714,1.868042,7,Standard
0.73,2.611337,7,Standard
0.747,2.973466,7,Standard
0.763,2.760879,7,Standard
0.78,2.139924,7,Standard
0.797,1.469212,7,Standard
0.813,1.103836,7,Standard
0.83,1.275913,7,Standard
0.846,2.081857,7,Standard
0.863,3.379134,7,Standard
0.88,4.665447,7,Standard
0.896,5.308157,7,Standard
0.913,5.009887,7,Standard
0.929,4.078763,7,Standard
0.946,3.090617,7,Standard
0.963,2.374591,7,Standard
0.979,1.874094,7,Standard
0.996,1.409771,7,Standard
1.012,0.93019,7,Standard
1.029,0.515798,7,Standard
1.046,0.261261,7,Standard
1.062,0.189597,7,Standard
1.079,0.311133,7,Standard
1.095,0.630032,7,Standard
1.112,1.088992,7,Standard
1.129,1.525775,7,Standard
1.145,1.724296,7,Standard
1.162,1.58677,7,Standard
1.178,1.217885,7,Standard
1.195,0.823568,7,Standard
1.211,0.544085,7,Standard
1.228,0.394564,7,Standard
1.245,0.320054,7,Standard
1.261,0.264613,7,Standard
1.278,0.200098,7,Standard
1.294,0.132361,7,Standard
1.311,0.072743,7,Standard
1.328,0.032693,7,Standard
1.344,0.011747,7,Standard
1.361,0.003468,7,Standard
1.377,0.002461,7,Standard
1.394,0.006937,7,Standard
1.411,0.023494,7,Standard
1.427,0.069488,7,Standard
1.444,0.162827,7,Standard
1.46,0.323458,7,Standard
1.477,0.56038,7,Standard
1.494,0.864301,7,Standard
1.51,1.192494,7,Standard
1.527,1.450677,7,Standard
1.543,1.523515,7,Standard
1.56,1.361936,7,Standard
1.577,1.036016,7,Standard
1.593,0.679813,7,Standard
1.61,0.394616,7,Standard
1.626,0.210601,7,Standard
1.643,0.120516,7,Standard
1.66,0.113108,7,Standard
1.676,0.182169,7,Standard
1.693,0.31397,7,Standard
1.709,0.458705,7,Standard
1.726,0.547605,7,Standard
1.743,0.536154,7,Standard
1.759,0.441325,7,Standard
1.776,0.328437,7,Standard
1.792,0.253634,7,Standard
1.809,0.223592,7,Standard
1.826,0.20664,7,Standard
1.842,0.173334,7,Standard
1.859,0.121434,7,Standard
1.875,0.069274,7,Standard
1.892,0.031873,7,Standard
1.909,0.011747,7,Standard
1.925,0.003468,7,Standard
1.942,0.00082,7,Standard
1.958,0,7,Standard
1.975,0,7,Standard
1.991,0,7,Standard
2.008,0,7,Standard
2.025,0,7,Standard
2.041,0,7,Standard
2.058,0,7,Standard
2.074,0,7,Standard
2.091,0,7,Standard
2.108,0,7,Standard
2.124,0.00082,7,Standard
2.141,0.003468,7,Standard
2.157,0.011747,7,Standard
2.174,0.032693,7,Standard
2.191,0.072743,7,Standard
2.207,0.132361,7,Standard
2.224,0.200098,7,Standard
2.24,0.258051,7,Standard
2.257,0.292307,7,Standard
2.274,0.300586,7,Standard
2.29,0.289103,7,Standard
2.307,0.269372,7,Standard
2.323,0.252975,7,Standard
2.34,0.240968,7,Standard
2.357,0.220649,7,Standard
2.373,0.179972,7,Standard
2.39,0.124082,7,Standard
2.406,0.070095,7,Standard
2.423,0.031873,7,Standard
2.44,0.011747,7,Standard
2.456,0.003468,7,Standard
