Concentration (uM),Area,Oligo,Replicate,Order
1.5,37845.4,unmodified,1,4
3,57536.1,unmodified,2,4
6,177154.76,unmodified,3,4
12,375550.84,unmodified,1,4
1.5,40727.2,unmodified,2,4
3,64097.5,unmodified,3,4
6,184206.7,unmodified,1,4
12,380460.1,unmodified,2,4
1.5,39244.1,unmodified,3,4
3,64692.4,unmodified,1,4
6,187970.86,unmodified,2,4
12,358701.9,unmodified,3,4
1.5,61759.74,methyl,1,3
3,159344.91,methyl,2,3
6,399158.84,methyl,3,3
12,654417.9,methyl,1,3
1.5,61613.52,methyl,2,3
3,152366.24,methyl,3,3
6,402252.79,methyl,1,3
12,698212,methyl,2,3
1.5,56916,methyl,3,3
3,104153.65,methyl,1,3
6,372279.3,methyl,2,3
12,678691.1,methyl,3,3
1.5,294065.4,octyl,1,2
3,416553.5,octyl,2,2
6,940125.3,octyl,3,2
12,1954885.6,octyl,1,2
1.5,304475.7,octyl,2,2
3,415531.9,octyl,3,2
6,934397.7,octyl,1,2
12,1960810.46,octyl,2,2
1.5,294633.3,octyl,3,2
3,417544.7,octyl,1,2
6,924742.1,octyl,2,2
12,1971820.37,octyl,3,2
1.5,343427.18,decyl,1,1
3,700399.56,decyl,2,1
6,1261957.8,decyl,3,1
12,3019420.4,decyl,1,1
1.5,332136.43,decyl,2,1
3,684480.87,decyl,3,1
6,1258703.67,decyl,1,1
12,3091808.04,decyl,2,1
1.5,335099.3,decyl,3,1
3,681910.97,decyl,1,1
6,1265917.48,decyl,2,1
12,3010503.53,decyl,3,1
